taxpayer_pin,taxpayer_name,department,division,station_name,obligation_name,year,total_advance_tax_paid,total_turnover,is_nil_return,variance,estimate
P051412222L,T.A MOTORS COMPANY LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2021,13920,10000,N,3920,352.8
P051757451S,PANAMAX ENGINEERING LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2023,62100,0,N,62100,5589
P051710953F,TEMESGHEN ENTERPRISE LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,23250,1,N,23249,2092.41
P051409200U,SAL-TECH TRADERS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2024,22750,11000,N,11750,1057.5
P051502327U,Silver Coin Imports Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2020,6150,0,N,6150,461.25
P051345354F,RIDGEVILLE ACADEMY LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2019,24000,12,N,23988,2158.92
P051464442A,TUTHIE AFRIKA LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2020,5760,1,N,5759,431.925
P051551796N,Hunky Energy Limited,MST,Compliance,Thika,Income Tax - Company,2018,8100,1,N,8099,728.91
P051130937Z,Nyutu Agrovet Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2021,2400,1,N,2399,215.91
P051410190U,Prime Network Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2018,6600,2,N,6598,593.82
P051672173J,Coastlink Limited,MST,Compliance,Mombasa South,Income Tax - Company,2022,2400,0,N,2400,216
P051130937Z,Nyutu Agrovet Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051574892V,SANTARAM KENYA LIMITED,LMT,Compliance,MTO,Income Tax - Company,2016,7140,0.01,N,7139.99,642.5991
P051584989C,Mck Muthangene W.f.,MST,Compliance,Meru,Income Tax - Company,2016,47520,1,N,47519,4276.71
P000591561R,JOS. HANSEN & SOEHNE (EAST AFRICA) LIMITED,LMT,Compliance,MTO,Income Tax - Company,2023,10725,1,N,10724,965.16
P051308766P,KINGS DEVELOPERS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2020,12300,2,N,12298,922.35
P051872214Y,ZAMBURA COMPANY LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2020,2400,0,N,2400,180
P051328808G,WORCESTER LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2018,4650,10,N,4640,417.6
P051185142U,Hashi Logistics Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2021,2434290,1,N,2434289,219086.01
P051221366S,United Pharma (k) Limited,LMT,Compliance,MTO,Income Tax - Company,2021,4020,0,N,4020,361.8
P051575386W,BUNGOMA CLASSIC SHUTTLE,MST,Compliance,Eldoret,Income Tax - Company,2020,380160,100,N,380060,28504.5
P051349852Q,Longonot Gate Development Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,2400,1,N,2399,215.91
P051373356E,RONGAO SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2015,23760,10,N,23750,2137.5
P051568549W,KENJAPS MOTOR IMPORTERS,MST,Compliance,Machakos,Income Tax - Company,2016,3600,1,N,3599,323.91
P051240567Y,Shepherds Junior School Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2019,46080,1,N,46079,4147.11
P051595868B,EVERFRANK ENTERPRISES LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,3600,1,N,3599,323.91
P051405399Q,CHOUDHRY MOTORS LIMITED,LMT,Compliance,MTO,Income Tax - Company,2019,185460,1,N,185459,16691.31
P051109261A,Order Of Saint Augustine,MST,Compliance,West of Nairobi,Income Tax - Company,2019,46800,26807,N,19993,1799.37
P051412128Q,DELTA FORWARDERS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2017,188100,1,N,188099,16928.91
P051316932C,Soweto Slums Good Samaritan Orphans & Destitute Group,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,1,N,2399,215.91
P051102566S,Africa Inland Church Diguna,MST,Compliance,South of Nairobi,Income Tax - Company,2017,261360,1,N,261359,23522.31
P051111545H,Mombasa Machinery Services Limited,MST,Compliance,Mombasa South,Income Tax - Company,2020,2400,0,N,2400,180
P051178677R,Tiba Transporters Company Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2017,486750,5,N,486745,43807.05
P051655974Y,A.i.p.c.a Dandora Creative Centre,MST,Compliance,East of Nairobi,Income Tax - Company,2017,36720,0,N,36720,3304.8
P051152632M,SILVERSTONE QUARRY LIMITED,LMT,Compliance,MTO,Income Tax - Company,2018,394440,10,N,394430,35498.7
P051583577S,The Horizon Resort Limited,MST,Compliance,KITALE,Income Tax - Company,2017,7860,0,N,7860,707.4
P051316293K,Tasty Choice Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2021,84000,1,N,83999,7559.91
P051650395L,Jacridge School Limited,MST,Compliance,Thika,Income Tax - Company,2020,71280,100,N,71180,5338.5
P051843382P,TUDOR PEARL TOWERS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2021,22500,0,N,22500,2025
P000633794F,The Khoja Shia Ithna Asheri Jamat Trust,MST,Compliance,Mombasa South,Income Tax - Company,2019,2400,0,N,2400,216
P051129873M,Congregation Of The Mission Of St Vincent De Paul,MST,Compliance,South of Nairobi,Income Tax - Company,2024,26600,1,N,26599,2393.91
P051169825G,Royal Scorpex Agencies Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2022,6750,2,N,6748,607.32
P051386853P,Universities Academic Staff Union,MST,Compliance,West of Nairobi,Income Tax - Company,2021,8640,1,N,8639,777.51
P051092698L,WINGS DRIVING SCHOOL LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2016,53460,1,N,53459,4811.31
P051625950N,Mashar General Enterprises Limited,MST,Compliance,KAJIADO,Income Tax - Company,2017,42000,1,N,41999,3779.91
P051211600A,SUMMIT COVE LINES COMPANY LIMITED,MST,Compliance,Mombasa South,Income Tax - Company,2016,13500,0,N,13500,1215
P051215220N,Samnje Enterprises Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,2400,0,N,2400,216
P051442499N,Aspros Africa Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2019,12000,1,N,11999,1079.91
P051412459C,SILKTOUCH DISTRIBUTORS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2018,2400,1,N,2399,215.91
P051352891I,Sargeor Ea Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2017,15120,6137,N,8983,808.47
P051700350V,Richindo Enterprises Limited,MST,Compliance,KERICHO,Income Tax - Company,2021,15270,1,N,15269,1374.21
P051699933Z,Samjen Wholesalers Ltd,MST,Compliance,Machakos,Income Tax - Company,2023,2400,1,N,2399,215.91
P051320245N,Enaidura Safaris Limited,MST,Compliance,NAROK,Income Tax - Company,2021,5040,1000,N,4040,363.6
P051104278X,Allie Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2016,43650,0,N,43650,3928.5
P051321228L,Roman Trading & Holdings Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2019,2400,0.1,N,2399.9,215.991
P051186975P,Franciscan Sisters Of Saint Anna,MST,Compliance,Kisumu,Income Tax - Company,2015,20640,1,N,20639,1857.51
P051710999T,MONAGRAND INVESTMENT LIMITED ,MST,Compliance,East of Nairobi,Income Tax - Company,2021,10080,1,N,10079,907.11
P051469374V,Kolma Agencies,MST,Compliance,Thika,Income Tax - Partnership,2016,20160,1,N,20159,1814.31
P051391661Z,Kijana Educational Empowerment,MST,Compliance,Kakamega,Income Tax - Company,2024,56400,1,N,56399,5075.91
P051370252T,Partners In Children And Family Support,MST,Compliance,NAKURU,Income Tax - Company,2025,34800,2,N,34798,3131.82
P051146916V,HILLSIDE GREEN GROWERS AND EXPORTERS COMPANY LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,4005,684,N,3321,298.89
P051313602L,Hilmac Marketers Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,8265,1,N,8264,743.76
P051519747T,BOTSKEN ENTERPRISES LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2017,2400,0,N,2400,216
P051554554K,HABITAT BUILDING SOLUTIONS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2021,2400,0,N,2400,216
P051322833T,TRIPPLE PEA SOLUTIONS LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2018,6750,2000,N,4750,427.5
P052076292K,EYAD ENTERPRISES LIMITED,MST,Compliance,Mombasa South,Income Tax - Company,2024,73750,50000,N,23750,2137.5
P051214641S,Hardware Muthaman Limited,MST,Compliance,Mombasa North,Income Tax - Company,2020,2400,1,N,2399,179.925
P051318853M,Aardwolf Africa Adventure Safaris Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2019,5760,1,N,5759,518.31
P051533357H,ENVIROCARE GENERAL AGENCIES LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2018,19800,0,N,19800,1782
P051140617F,Oil And Cake Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,7050,1,N,7049,634.41
P000635292E,International Fellowship (interfelk),MST,Compliance,Kisumu,Income Tax - Company,2024,72200,1,N,72199,6497.91
P051179286Q,THE INSTITUTE OF THE CARMELITE SISTERS OF ST TERESA REGISTERED TRUSTEES,MST,Compliance,Machakos,Income Tax - Company,2019,23760,0,N,23760,2138.4
P051238144C,Chebakip Company Limited,MST,Compliance,Eldoret,Income Tax - Company,2017,7530,1,N,7529,677.61
P051986408S,CLASSIQUE LOOS LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2023,3000,0,N,3000,270
P051535181L,Ack Thika Memorial Church School,MST,Compliance,Thika,Income Tax - Company,2016,73440,2,N,73438,6609.42
P051743073J,A1 Autoservice Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2020,2400,1,N,2399,179.925
P051598630P, SPEEDY INTERNATIONAL LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,0.1,N,2399.9,215.991
P051144893G,Wesco Electrical And Electronic Engineering Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2021,2400,1,N,2399,215.91
P051217162C,Central Yearly M (quakers),MST,Compliance,Kakamega,Income Tax - Company,2016,36720,1,N,36719,3304.71
P051342877J,Nory Logistics Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2018,5250,100,N,5150,463.5
P051556314B,City Star Restaurant Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,2400,0,N,2400,216
P051370361V,Uhai Logistics Limited,MST,Compliance,Malindi,Income Tax - Company,2017,4800,0,N,4800,432
P051184350U,Donald Romeo Community Primary School,MST,Compliance,Kakamega,Income Tax - Company,2018,23760,1,N,23759,2138.31
P051141669V,LEGACY SCHOOLS,MST,Compliance,KITALE,Income Tax - Partnership,2017,70560,1,N,70559,6350.31
P051229775S,Commercial Grain Services Limited,MST,Compliance,KITALE,Income Tax - Company,2021,64635,1,N,64634,5817.06
P051418764Q,GLOW BALL CARGO HANDLERS AND LOGISTICS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2021,8100,2000,N,6100,549
P051984709Q,JATZ LUBES LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2023,22500,1,N,22499,2024.91
P051528502D,BEEWORTH ENTERPRISES LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2020,2400,1,N,2399,179.925
P000601065J,Shepherd Group Of Companies Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2020,3690,0,N,3690,276.75
P051303305K,Citizen Trading Company,MST,Compliance,East of Nairobi,Income Tax - Company,2016,7950,0,N,7950,715.5
P051543769Q,Ack St. Barnabas Parish Marurui,MST,Compliance,East of Nairobi,Income Tax - Company,2020,10080,2300,N,7780,583.5
P051554056H,HANNS KENYA LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2015,14400,0,N,14400,1296
P051171202Z,STARMART AGENCIES LIMITED,MST,Compliance,Thika,Income Tax - Company,2017,2400,0,N,2400,216
P051338952O,Personnel Connect Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,2400,393,N,2007,180.63
P051208225X,JAK LINE COMPANY LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2017,336000,0.01,N,335999.99,30239.9991
P051415383J,Franciscan Sisters Of The Most Pure Conception,MST,Compliance,East of Nairobi,Income Tax - Company,2022,10080,1,N,10079,907.11
P051244497L,EUROPACK INDUSTRIES LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2023,2400,0,N,2400,216
P051644124Z,SHALOM GRACE CHURCH,MST,Compliance,North of Nairobi,Income Tax - Company,2019,7500,0,N,7500,675
P051663726H,GOLDEN ELITES HOLDINGS LIMITED,MST,Compliance,Kisumu,Income Tax - Company,2023,93600,1,N,93599,8423.91
P051387785Y,Shree Hari Construction And Transport Company Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051505259L,Oka Welfare Association,MST,Compliance,Machakos,Income Tax - Company,2021,10080,1,N,10079,907.11
P051603012L,Bido Transport Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2018,81000,50000,N,31000,2790
P051664740H,Pastenet Agencies Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2019,3600,0,N,3600,324
P051216762G,Glory Tours And Safaris Limited,MST,Compliance,Mombasa South,Income Tax - Company,2016,10080,0,N,10080,907.2
P051207117R,JAJA LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2017,3000,2,N,2998,269.82
P051162917Z,JOWAK AGENCIES LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2023,31800,0,N,31800,2862
P051181281R,Kensom Oil (k) Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2022,139200,1,N,139199,12527.91
P051339979B,PEAKS OF KENYA LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2022,12960,1,N,12959,1166.31
P000606760A,FRIENDS CHURCH QUAKERS NAIROBI YEARLY MEETING,MST,Compliance,South of Nairobi,Income Tax - Company,2018,23760,0,N,23760,2138.4
P051705430C,ABDULCON ENTERPRISES LIMITED,MST,Compliance,Malindi,Income Tax - Company,2024,307500,100000,N,207500,18675
P051216521T,JUST ESENTIALS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,2400,1200,N,1200,108
P051549975E,DELTA POINT DISTRIBUTORS LTD,LMT,Compliance,MTO,Income Tax - Company,2015,2400,0,N,2400,216
P051140971T,Fan Green (k) Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2022,2400,1,N,2399,215.91
P051429176R,ILOGIX LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,2400,1,N,2399,215.91
P051229775S,Commercial Grain Services Limited,MST,Compliance,KITALE,Income Tax - Company,2024,30225,1,N,30224,2720.16
P051221450L,ELDAN COMPANY LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2016,2400,0,N,2400,216
P051166887Q,Cube Movers Ltd,MST,Compliance,South of Nairobi,Income Tax - Company,2021,177255,0,N,177255,15952.95
P051358774U,SAFARI EXPOSURE TOURS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2023,5760,10,N,5750,517.5
P051610081Y,J.k & Sons Holding Company Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2018,3600,0.01,N,3599.99,323.9991
P051852000R,CAT DISCOVERIES SAFARIS LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,11520,100,N,11420,1027.8
P051175148Z,Northern Rangelands Trust,LMT,Compliance,MTO,Income Tax - Company,2020,4800,0,N,4800,360
P000631835M,LESIO LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2017,3248,0,N,3248,292.32
P051392216Q,Osprey Security And Surveillance Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2018,2400,0,N,2400,216
P051319863Q,CM CONSTRUCTION (EAST AFRICA) LIMITED,LMT,Compliance,MTO,Income Tax - Company,2015,25740,0,N,25740,2316.6
P051213893G,Yamata Gypsum Limited,LMT,Compliance,LTO,Income Tax - Company,2018,175500,1,N,175499,15794.91
P051203884E,Mtito Andei Community Project,MST,Compliance,VOI,Income Tax - Company,2018,52560,0,N,52560,4730.4
P051209166J,KAHAWA SUKARI HARDWARE,MST,Compliance,West of Nairobi,Income Tax - Partnership,2017,84000,1,N,83999,7559.91
P051731742Z,FOUR TECH BUILDERS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2021,57000,0,N,57000,5130
P051121737K,Poverelle Sisters Of Bergamo In Kenya,MST,Compliance,West of Nairobi,Income Tax - Company,2019,11760,1,N,11759,1058.31
P051356572M,AFRICAN HAGYKO SAFARIS,MST,Compliance,East of Nairobi,Income Tax - Partnership,2019,5760,1000,N,4760,428.4
P051729515L,Pepstel Limited,MST,Compliance,KERICHO,Income Tax - Company,2018,7350,1,N,7349,661.41
P000614933S,Hillside Investments Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2018,2400,1,N,2399,215.91
P051305068E,Ansy Enterprises Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2021,2400,1,N,2399,215.91
P051612363D,Tajiri Ventures Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,3600,1,N,3599,323.91
P051385070G,Lancom Technology Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2023,2400,0,N,2400,216
P051811870G,BLUAXIS CONSTRUCTION LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2019,22500,1000,N,21500,1935
P051364794P,Quantum Alliance Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2017,12030,0,N,12030,1082.7
P051592232Z,Abbysinia Energy Ltd,MST,Compliance,Mombasa North,Income Tax - Company,2016,47400,1,N,47399,4265.91
P051416675O,TOP TECHNICAL SOLUTIONS LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051564593S,MUKOHORO ERERI LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2016,5985,0,N,5985,538.65
P000613104D,ELECTRICAL DISTRIBUTORS LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2024,31000,1,N,30999,2789.91
P052055436Y,HARBOUR AGRICULTURE INTERNATIONAL LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2022,2400,0,N,2400,216
P051193091Z,NEWDAY MOTORS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,13200,0,N,13200,1188
P051102009C,Jigsaw Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051149074H,Jakalu Enterprises Limited,MST,Compliance,NAKURU,Income Tax - Company,2017,2400,1,N,2399,215.91
P051162326M,Rural Education & Economic Enhancement Programme,MST,Compliance,BUSIA,Income Tax - Company,2020,2400,0,N,2400,180
P051306446C,MILES CONSTRUCTION LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2018,22500,1,N,22499,2024.91
P051095394M,Cianda Flowers Limited,MST,Compliance,KIAMBU,Income Tax - Company,2018,2400,1,N,2399,215.91
P051505259L,Oka Welfare Association,MST,Compliance,Machakos,Income Tax - Company,2018,10080,1,N,10079,907.11
P051774226H,QANQE HARDWARE & ESSENTIAL SUPPLIES CO. LTD,MST,Compliance,East of Nairobi,Income Tax - Company,2019,18000,0,N,18000,1620
P051153656Y,CELLZ-R-US LIMITED,LMT,Compliance,MTO,Income Tax - Company,2023,10080,1,N,10079,907.11
P051166628B,Junel School,MST,Compliance,KIAMBU,Income Tax - Company,2017,36000,1,N,35999,3239.91
P051121737K,Poverelle Sisters Of Bergamo In Kenya,MST,Compliance,West of Nairobi,Income Tax - Company,2022,8640,1,N,8639,777.51
P051364373G,OLIVEJOY SUPPLIERS LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2019,10500,0,N,10500,945
P051582347G,Jankett Investments Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,10800,2,N,10798,971.82
P051691126X,K. PIPES & FITTINGS CENTRE LIMITED,MST,Compliance,KIAMBU,Income Tax - Company,2023,26250,1,N,26249,2362.41
P051112572R,CAMERAPIX PUBLISHERS LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051378656T,Agrico East Africa Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,4800,0,N,4800,432
P051475538K,BRIGITEC CONSTRUCTION COMPANY LIMITED,MST,Compliance,Mombasa South,Income Tax - Company,2015,6000,0,N,6000,540
P051521715Z,MUWAKA KENYA LIMITED,MST,Compliance,KERUGOYA,Income Tax - Company,2018,2400,1.7,N,2398.3,215.847
P051182918R,ARAX MILLS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2023,13500,1,N,13499,1214.91
P051225542X,GATHAMBO BUILDERS AND GENERAL AGENCIES LIMITED,MST,Compliance,Mombasa South,Income Tax - Company,2021,7200,1,N,7199,647.91
P051158557K,Tulsi Construction Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2024,24750,1,N,24749,2227.41
P051360879J,Orbinet Agencies Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2021,47520,0,N,47520,4276.8
P051409399Y,JUBILEE AFRICA LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2016,4051,0,N,4051,364.59
P051687807R,Elimu Trust,MST,Compliance,North of Nairobi,Income Tax - Company,2018,10080,0,N,10080,907.2
P051669449Z,Cimoto Enterprise,MST,Compliance,North of Nairobi,Income Tax - Partnership,2018,10800,100,N,10700,963
P051241570S,REYNOLDS CONSTRUCTION COMPANY ( NIGERIA) LIMITED,LMT,Compliance,LTO,Income Tax - Company,2022,77685,0,N,77685,6991.65
P051118505S,NAIROBI JAFFERY ACADEMY,LMT,Compliance,MTO,Income Tax - Partnership,2016,81360,0.02,N,81359.98,7322.3982
P000593679J,East African Wildlife Safaris Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2021,15060,0,N,15060,1355.4
P051581924A,QUANTUM IMPEX LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2018,3600,0,N,3600,324
P051446957S,Chamuga Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,10800,0.01,N,10799.99,971.9991
P051179174L,Mugi Farm Products (kenya) Limited,MST,Compliance,Nyeri,Income Tax - Company,2017,2400,1,N,2399,215.91
P051360330L,Kenya Travel Packages Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2020,6480,0,N,6480,486
P051579840T,KAMUWONGO GATEWAY SERVICE STATION LTD,MST,Compliance,North of Nairobi,Income Tax - Company,2020,4875,0,N,4875,365.625
P051142378Y,Hualong Commercial And Company Limited,MST,Compliance,Mombasa North,Income Tax - Company,2018,2400,1,N,2399,215.91
P000633794F,The Khoja Shia Ithna Asheri Jamat Trust,MST,Compliance,Mombasa South,Income Tax - Company,2020,47520,0,N,47520,3564
P051543769Q,Ack St. Barnabas Parish Marurui,MST,Compliance,East of Nairobi,Income Tax - Company,2022,10080,600,N,9480,853.2
P051101081H,Tigoi Girls High School,MST,Compliance,Kakamega,Income Tax - Company,2016,36720,1,N,36719,3304.71
P051407887V,Ibom Church Planting Ministry Of Kenya,MST,Compliance,BUNGOMA,Income Tax - Company,2022,12960,0,N,12960,1166.4
P051388442K,Best African Logistics Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051643619C,Ess Equipment Kenya Ltd,LMT,Compliance,MTO,Income Tax - Company,2018,2400,1,N,2399,215.91
P051643839L,PROSPER PRIMARY SCHOOL,MST,Compliance,NANYUKI,Income Tax - Company,2023,36720,1,N,36719,3304.71
P051451920P,ALPHA MERCANTILE LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2017,2400,0,N,2400,216
P051169857Q,Dina Driving Schoolimited,MST,Compliance,North of Nairobi,Income Tax - Company,2015,2400,0,N,2400,216
P051091518K,Memon Jamat Nairobi,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,1,N,2399,215.91
P000599394T,AMCON LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2016,47910,1000,N,46910,4221.9
P051144925T,Shamji Communications Limited,MST,Compliance,Kisii,Income Tax - Company,2015,2985,1,N,2984,268.56
P051581136W,STEP ON INVESTMENTS CO. LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2020,13500,0,N,13500,1012.5
P051125120I,Ganesh Nagar Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2017,2694,0,N,2694,242.46
P051610516P,Salama Kenya Baptist Ministry,MST,Compliance,Machakos,Income Tax - Company,2019,33270,1,N,33269,2994.21
P051245341W,WAK CONSTRUCTION LIMITED,LMT,Compliance,MTO,Income Tax - Company,2016,30750,0,N,30750,2767.5
P051206197K,WACAKU INVESTMENTS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2018,10050,0,N,10050,904.5
P051441199F,SAHANE ENTERPRISES LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2021,65700,0,N,65700,5913
P051405216R,MINDVILLE CONSULTANCY AGENCY,MST,Compliance,East of Nairobi,Income Tax - Partnership,2020,7710,2,N,7708,578.1
P051406737G,Vip Motors Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2015,3600,10,N,3590,323.1
P051960279R,DECKERS HOLDINGS LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2022,129900,0,N,129900,11691
P051564509E,Renka Enterprises Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2019,4800,1,N,4799,431.91
P051572721Z,Gem Gen Power Company Limited,MST,Compliance,SIAYA,Income Tax - Company,2016,13650,1,N,13649,1228.41
P051565896C,SPRINTEX ENGINEERING SERVICES LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2016,2400,10,N,2390,215.1
P051453888R,Chibubu Construction Enterprise Limited,MST,Compliance,DIANI,Income Tax - Company,2018,11520,2,N,11518,1036.62
P051467173O,Better-link Ventures Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2017,23760,1,N,23759,2138.31
P051442833X,THE ZONAL TRAINING INSTITUTE LIMITED,MST,Compliance,Mombasa South,Income Tax - Company,2017,5040,1,N,5039,453.51
P051411649V,St. Vincent Depaul Boys' Boarding Primary,MST,Compliance,Kisii,Income Tax - Partnership,2016,36720,1,N,36719,3304.71
P051098425E,HASHI ENERGY LIMITED,LMT,Compliance,LTO,Income Tax - Company,2021,345300,100,N,345200,31068
P051141669V,LEGACY SCHOOLS,MST,Compliance,KITALE,Income Tax - Partnership,2019,60480,1,N,60479,5443.11
P051206197K,WACAKU INVESTMENTS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2019,10050,0,N,10050,904.5
P051836515I,Milele Home Community Based Organization,MST,Compliance,KITALE,Income Tax - Company,2023,11520,0.1,N,11519.9,1036.791
P051361118J,Ngombey Investment Limited,MST,Compliance,Eldoret,Income Tax - Company,2020,22500,1,N,22499,1687.425
P051149726E,Hardy Projects,MST,Compliance,South of Nairobi,Income Tax - Company,2020,12300,10000,N,2300,172.5
P000620616E,ZEDSONS LIMITED,LMT,Compliance,MTO,Income Tax - Company,2016,4800,1,N,4799,431.91
P000597345E,OSHWAL ENTERPRISES LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2019,2400,1,N,2399,215.91
P051166280D,Kisima Trust,MST,Compliance,Nyeri,Income Tax - Company,2019,36720,0,N,36720,3304.8
P052218628G,WC ENERGY LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2024,280000,1,N,279999,25199.91
P051595495A,Spring Creek Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,1,N,2399,215.91
P051646443L,Estrac Academy Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2018,47520,1,N,47519,4276.71
P051367746N,Jesus Lives Church Ministries,MST,Compliance,West of Nairobi,Income Tax - Company,2017,18720,0,N,18720,1684.8
