taxpayer_pin,taxpayer_name,department,division,station_name,obligation_name,year,total_advance_tax_paid,total_turnover,is_nil_return,variance,estimate
P051241021C,KIVU HUTS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2019,146880,1,N,146879,13219.11
P051412643U,Inkit Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2021,2400,0,N,2400,216
P051233689K,Ganze Estates Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,126,N,2274,204.66
P051554126A,Royal Boulevard Resorts Company Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2022,15000,1,N,14999,1349.91
P000592674C,HARI SINGH & COMPANY LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2023,2400,1,N,2399,215.91
P051599307P,ANGANI TECHNOLOGIES LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2018,4800,1,N,4799,431.91
P051138451B,Dero Community & Cultural Organization,MST,Compliance,West of Nairobi,Income Tax - Company,2016,2400,1,N,2399,215.91
P051233395F,GOOD HOPE BUSINESS LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2022,23760,1,N,23759,2138.31
P051431777E,THE PUBLICAN ( AFRICA) LIMITED,MST,Compliance,LODWAR,Income Tax - Company,2018,18000,0,N,18000,1620
P000592866E,Co-opholdings Co-operative Society Limited,LMT,Compliance,LTO,Income Tax - Company,2016,211388,0,N,211388,19024.92
P000592671Z,KENYA HOSPITAL ASSOCIATION,LMT,Compliance,LTO,Income Tax - Company,2016,12000,1,N,11999,1079.91
P051130434G,Tingatunyi Investments Limited,MST,Compliance,Mombasa South,Income Tax - Company,2017,94800,1,N,94799,8531.91
P000597057H,SCIENTRONICS INTERNATIONAL LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2020,7050,0,N,7050,528.75
P051374851G,Octagon Plains Limited,MST,Compliance,KAJIADO,Income Tax - Company,2017,3720,1,N,3719,334.71
P000591697E,Kenton College Trust,LMT,Compliance,LTO,Income Tax - Company,2022,151920,1,N,151919,13672.71
P051108791J,Huruma Trust Fund,MST,Compliance,South of Nairobi,Income Tax - Company,2018,20160,1,N,20159,1814.31
P051930110N,Emered Holdings Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2021,22500,100,N,22400,2016
P051444815W,Anir Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2022,2880,0,N,2880,259.2
P051421359X,LINEAR CREDIT LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2017,23760,1,N,23759,2138.31
P051169139F,Lukenya Academy,LMT,Compliance,MTO,Income Tax - Company,2019,267540,88651,N,178889,16100.01
P051135678I,Eggen Joinex Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2024,22250,0,N,22250,2002.5
P051219216W,SAGOO AND NYOTTA LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,12000,1,N,11999,1079.91
P051341665Y,ANGELS BAKERY LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2017,2400,0,N,2400,216
P051217704W,SUSRO FARM FRESH LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,2400,0,N,2400,216
P051372551Z,Scc International Engineering (kenya) Co. Limited,LMT,Compliance,MTO,Income Tax - Company,2017,6750,0,N,6750,607.5
